Date,Commulative Total Count of Confirmed Cases In India
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,2
2020-02-03,3
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,6
2020-03-03,9
2020-03-04,32
2020-03-05,33
2020-03-06,34
2020-03-07,37
2020-03-08,43
2020-03-09,50
2020-03-10,65
2020-03-11,65
2020-03-12,77
2020-03-13,85
2020-03-14,100
2020-03-15,110
2020-03-16,114
2020-03-17,140
2020-03-18,170
2020-03-19,198
2020-03-20,249
2020-03-21,329
2020-03-22,391
2020-03-23,468
2020-03-24,519
2020-03-25,562
2020-03-26,NaN
2020-03-27,NaN
2020-03-28,NaN
2020-03-29,NaN
2020-03-30,NaN
2020-03-31,NaN
2020-04-01,NaN
2020-04-02,NaN
2020-04-03,NaN
2020-04-04,NaN
2020-04-05,NaN
2020-04-06,NaN
2020-04-07,NaN
2020-04-08,NaN
2020-04-09,NaN
2020-04-10,NaN
2020-04-11,NaN
2020-04-12,NaN
2020-04-13,NaN
2020-04-14,NaN
2020-04-15,NaN
2020-04-16,NaN
2020-04-17,NaN
2020-04-18,NaN
2020-04-19,NaN
2020-04-20,NaN
2020-04-21,NaN
2020-04-22,NaN
2020-04-23,NaN
2020-04-24,NaN
2020-04-25,NaN
2020-04-26,NaN
2020-04-27,NaN
2020-04-28,NaN
2020-04-29,NaN
2020-04-30,NaN
