Date,Commulative Total Count of Confirmed Cases In India
2020-03-14,100
2020-03-15,110
2020-03-16,114
2020-03-17,140
2020-03-18,170
2020-03-19,198
2020-03-20,249
2020-03-21,329
2020-03-22,391
2020-03-23,468
2020-03-24,519
2020-03-25,606
2020-03-26,694
2020-03-27,834
2020-03-28,918
2020-03-29,1024
2020-03-30,1251
2020-03-31,1397
2020-04-01,1834
2020-04-02,2069
2020-04-03,2547
2020-04-04,3072
2020-04-05,3577
2020-04-06,4281
2020-04-07,NaN
2020-04-08,NaN
2020-04-09,NaN
2020-04-10,NaN
2020-04-11,NaN
2020-04-12,NaN
2020-04-13,NaN
2020-04-14,NaN
2020-04-15,NaN
2020-04-16,NaN
2020-04-17,NaN
2020-04-18,NaN
2020-04-19,NaN
2020-04-20,NaN
2020-04-21,NaN
2020-04-22,NaN
2020-04-23,NaN
2020-04-24,NaN
2020-04-25,NaN
2020-04-26,NaN
2020-04-27,NaN
2020-04-28,NaN
2020-04-29,NaN
2020-04-30,NaN
